antecedents,consequents,support,confidence,lift,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,improvement,added_value,gini_index,lift_diff,kl_divergence
"frozenset({'spaghetti', 'mineral water'})",frozenset({'frozen vegetables'}),0.011998400213304892,0.20089285714285715,2.1075487012987013,0.006305340685944358,1.1321127387856667,0.5588953479212944,0.08387698042870456,0.11669574438970991,0.16338349150849152,0.15901953586654938,0.09532062391681109,0.10557223322604606,0.10557223322604606,0.003852324366955155,1.1075487012987013,0.2160735206369652
frozenset({'spaghetti'}),frozenset({'red wine'}),0.010265297960271964,0.058958652373660034,2.095966120638976,0.005367652974892865,1.0327605898817505,0.6331268408750249,0.05347222222222222,0.03172137880038737,0.21194378116313334,0.14668236684412486,0.028129582722303693,0.03082906965135634,0.03082906965135634,0.0011390893975905963,1.095966120638976,0.06294516507392438
frozenset({'red wine'}),frozenset({'spaghetti'}),0.010265297960271964,0.36492890995260663,2.095966120638976,0.005367652974892865,1.3004683952587415,0.5380275417312455,0.05347222222222222,0.23104628790226028,0.21194378116313334,0.14668236684412486,0.17411011865084655,0.19081879130176008,0.19081879130176008,0.0047580846950466575,1.095966120638976,0.3896037231589821
"frozenset({'ground beef', 'mineral water'})",frozenset({'milk'}),0.011065191307825623,0.2703583061889251,2.0863761879867564,0.005761645680944714,1.1929379654141352,0.5429206400246525,0.0693979933110368,0.16173344382342275,0.17787462634549134,0.15194127701242152,0.12958272230369283,0.14077558388523226,0.14077558388523226,0.004365543120777811,1.0863761879867564,0.28684997609145196
frozenset({'milk'}),"frozenset({'ground beef', 'mineral water'})",0.011065191307825623,0.08539094650205761,2.0863761879867564,0.005761645680944714,1.0486142904980498,0.5982188825757925,0.0693979933110368,0.04636050732720797,0.17787462634549134,0.15194127701242152,0.040927876283162246,0.04446307021889537,0.04446307021889537,0.0017283681159514324,1.0863761879867564,0.09059973524699151
frozenset({'milk'}),"frozenset({'chocolate', 'mineral water'})",0.013998133582189041,0.1080246913580247,2.0513752148773245,0.007174353378221748,1.0620701553518355,0.5888234907992911,0.08320126782884311,0.05844261326717468,0.18692373808407564,0.1694562606841203,0.05265964538061592,0.05536504597740878,0.05536504597740878,0.0026975903289102685,1.0513752148773245,0.11197746580983269
"frozenset({'chocolate', 'mineral water'})",frozenset({'milk'}),0.013998133582189041,0.26582278481012656,2.0513752148773245,0.007174353378221748,1.1855683610001424,0.5410116199589884,0.08320126782884311,0.15652270008588748,0.18692373808407564,0.1694562606841203,0.12958272230369283,0.13624006250643372,0.13624006250643372,0.005463780388753806,1.0513752148773245,0.2755496120687528
frozenset({'milk'}),"frozenset({'spaghetti', 'mineral water'})",0.01573123583522197,0.12139917695473253,2.0326232730746625,0.00799185980641856,1.070195480571365,0.5836567491582536,0.09062980030721966,0.06559126986210814,0.19239601704879483,0.17881743783227155,0.05972536995067324,0.061673807004059285,0.061673807004059285,0.003355831804067361,1.0326232730746625,0.1242329797913927
"frozenset({'spaghetti', 'mineral water'})",frozenset({'milk'}),0.01573123583522197,0.26339285714285715,2.032623273074662,0.00799185980641856,1.1816573951755929,0.5402941890336365,0.09062980030721966,0.1537310187515043,0.19239601704879483,0.17881743783227155,0.12958272230369283,0.13381013483916432,0.13381013483916432,0.006104256252227597,1.032623273074662,0.26954119722596803
frozenset({'ground beef'}),"frozenset({'mineral water', 'eggs'})",0.010131982402346354,0.10312075983717775,2.0248921977452103,0.005128267926272675,1.0581953671936026,0.5612958697749696,0.0728667305848514,0.054994917760734695,0.15103681970916477,0.14323467497154066,0.05092654312758299,0.05219421670959476,0.05219421670959476,0.0018741506527959854,1.0248921977452103,0.10496096042815466
"frozenset({'mineral water', 'eggs'})",frozenset({'ground beef'}),0.010131982402346354,0.19895287958115182,2.02489219774521,0.005128267926272675,1.1257096003757232,0.533305978811335,0.0728667305848514,0.11167142958873741,0.15103681970916477,0.14323467497154066,0.09825356619117451,0.10069931338997731,0.10069931338997731,0.0032294808633119535,1.02489219774521,0.20250321422918838
frozenset({'pancakes'}),"frozenset({'spaghetti', 'mineral water'})",0.011465137981602452,0.12061711079943899,2.0195289020236427,0.005788003096276493,1.069243718062472,0.5578620273807402,0.07999999999999999,0.0647595275920306,0.15629069825686234,0.15216496810874428,0.05972536995067324,0.060891740848765745,0.060891740848765745,0.0024321828051827193,1.0195289020236427,0.12230801710644813
"frozenset({'spaghetti', 'mineral water'})",frozenset({'pancakes'}),0.011465137981602452,0.1919642857142857,2.019528902023642,0.005788003096276493,1.1199331801800276,0.5369016648036955,0.07999999999999999,0.10708958561326709,0.15629069825686234,0.15216496810874428,0.09505399280095987,0.09691029291332583,0.09691029291332583,0.0035568067965087657,1.0195289020236422,0.1946553932966462
frozenset({'olive oil'}),frozenset({'spaghetti'}),0.022930275963204905,0.3481781376518219,1.999758201015556,0.01146375168463962,1.267048451510813,0.5351857444880701,0.10565110565110565,0.2107641986321737,0.23993899225623253,0.21413782339644924,0.17411011865084655,0.17406801900097532,0.17406801900097532,0.010408057859874283,0.9997582010155559,0.34811740436741107
frozenset({'spaghetti'}),frozenset({'olive oil'}),0.022930275963204905,0.13169984686064318,1.9997582010155557,0.01146375168463962,1.0758285726512185,0.6053343844435686,0.10565110565110565,0.07048388059107813,0.23993899225623253,0.21413782339644924,0.0658578856152513,0.06584196124539188,0.06584196124539188,0.005244383287021603,0.9997582010155557,0.1316768742400467
frozenset({'olive oil'}),frozenset({'milk'}),0.017064391414478068,0.2591093117408907,1.9995668182802688,0.008530347311288593,1.1748255059616823,0.5351345083487942,0.09566517189835576,0.14880976372620938,0.1953982772696223,0.18471976301017995,0.12958272230369283,0.12952658943719786,0.12952658943719786,0.00655175965009645,0.9995668182802688,0.25902833790344715
frozenset({'milk'}),frozenset({'olive oil'}),0.017064391414478068,0.13168724279835392,1.9995668182802688,0.008530347311288593,1.0758129563767487,0.5743126818808394,0.09566517189835576,0.0704703879307054,0.1953982772696223,0.18471976301017995,0.0658578856152513,0.06582935718310262,0.06582935718310262,0.003902480002389744,0.9995668182802688,0.13164608942829514
"frozenset({'chocolate', 'ground beef'})",frozenset({'mineral water'}),0.010931875749900012,0.47398843930635837,1.988471634920019,0.005434248548222722,1.4479373446177872,0.508836803706465,0.04364023416711016,0.309362381102222,0.25992486842275414,0.14743718949147866,0.23836821757099053,0.23562022173536784,0.23562022173536784,0.005451144832487145,0.9884716349200191,0.4700353674678526
frozenset({'mineral water'}),"frozenset({'chocolate', 'ground beef'})",0.010931875749900012,0.04586129753914989,1.988471634920019,0.005434248548222722,1.023893492590984,0.6526791698863952,0.04364023416711016,0.023335916053652195,0.25992486842275414,0.14743718949147866,0.023063591521130515,0.02279770601801937,0.02279770601801937,0.0009567148892223401,0.9884716349200191,0.04547881351898127
"frozenset({'mineral water', 'eggs'})",frozenset({'milk'}),0.013064924676709772,0.25654450261780104,1.979773985736755,0.006465724580721148,1.1707725354929202,0.5214473484294687,0.07802547770700638,0.1458631205599825,0.17868377394264537,0.16082785206723427,0.12958272230369283,0.1269617803141082,0.1269617803141082,0.0049837310326222755,0.9797739857367549,0.25278246714006497
frozenset({'milk'}),"frozenset({'mineral water', 'eggs'})",0.013064924676709772,0.10082304526748971,1.9797739857367547,0.006465724580721148,1.0554913044393472,0.5685684903460542,0.07802547770700638,0.0525739096153168,0.17868377394264537,0.16082785206723427,0.05092654312758299,0.04989650213990672,0.04989650213990672,0.002368873580436471,0.9797739857367547,0.09934454984311195
frozenset({'mineral water'}),"frozenset({'frozen vegetables', 'milk'})",0.011065191307825623,0.046420581655480984,1.9672360621342533,0.0054404513384794925,1.0239347950087594,0.645551574405446,0.04410201912858661,0.02337531171460443,0.25767356766389865,0.1475392943427921,0.023596853752832957,0.022823727902648028,0.022823727902648028,0.000979617126810444,0.9672360621342533,0.04531438322705608
"frozenset({'frozen vegetables', 'milk'})",frozenset({'mineral water'}),0.011065191307825623,0.46892655367231634,1.9672360621342533,0.0054404513384794925,1.434136441382284,0.5035549077796714,0.04410201912858661,0.30271627500368364,0.25767356766389865,0.1475392943427921,0.23836821757099053,0.2305583361013258,0.2305583361013258,0.005511227462329185,0.9672360621342533,0.4577520746326343
frozenset({'turkey'}),frozenset({'burgers'}),0.010665244634048793,0.1705756929637527,1.9564040870353345,0.005213791785056575,1.1005363809247029,0.5214625995449373,0.07670182166826463,0.09135216487821073,0.14644992599257972,0.14444905050323012,0.0871883748833489,0.0833873180804038,0.0833873180804038,0.0030178296426330003,0.9564040870353345,0.1651521336734291
frozenset({'burgers'}),frozenset({'turkey'}),0.010665244634048793,0.12232415902140673,1.9564040870353345,0.005213791785056575,1.0681335403827688,0.5355520665985102,0.07670182166826463,0.06378747395045106,0.14644992599257972,0.14444905050323012,0.06252499666711105,0.05979916235429568,0.05979916235429568,0.00229006178677216,0.9564040870353345,0.1184347869921074
"frozenset({'chocolate', 'milk'})",frozenset({'spaghetti'}),0.010931875749900012,0.34024896265560167,1.954217051209547,0.005337883136267961,1.2518205119820502,0.5044950614795404,0.05597269624573379,0.20116343323319907,0.2015180494748146,0.1461617528362285,0.17411011865084655,0.16613884400475512,0.16613884400475512,0.004907966323830388,0.9542170512095469,0.32888148762455527
frozenset({'spaghetti'}),"frozenset({'chocolate', 'milk'})",0.010931875749900012,0.06278713629402756,1.9542170512095467,0.005337883136267961,1.032711978272178,0.5912242366975728,0.05597269624573379,0.031675800184779716,0.2015180494748146,0.1461617528362285,0.03212904946007199,0.030658086833955572,0.030658086833955572,0.0012865705288419844,0.9542170512095467,0.06068946287711929
